Comment,Designator,Footprint,JLCPCB Part #
"CAP,0603,0.1u,50V,X7R","C301,C303,C305,C311,C404,C405,C406,C407,C408,C411,C412,C501,C503,C505,C511",C_0603_1608Metric,C14663
"CAP,ALUM_ELECT,470uF,10V,6.3MM,2000 HR","C302,C502",CP_Elec_6.3x7.7,C4747954
"CAP,ALUM_ELECT,100uF,35V,ESR 600mOHM,6.3MM,2000 HR","C304,C312,C504,C512",CP_Elec_6.3x7.7,C2836437
"CAP,0805,0.22UF,50V,5%,X7R","C306,C308,C309,C506,C508,C509",C_0805_2012Metric,C520076
"CAP,0603,0.15UF,50V,5%,X7R","C307,C507",C_0603_1608Metric,C519580
"CAP,0603,0.033UF,50V,5%,X7R","C310,C510",C_0603_1608Metric,C327162
"CAP,0603,0.01u,50V,C0G","C313,C513",C_0603_1608Metric,C85973
"CAP,0805,1u,50V,X7R",C401,C_0805_2012Metric,C28323
"CAP,0805,10u,25V,X5R",C402,C_0805_2012Metric,C15850
"CAP,0805,22u,25V,X5R",C403,C_0805_2012Metric,C45783
"CAP,0603,22p,50V,C0G","C409,C410",C_0603_1608Metric,C1653
"DIODE,RECTIFIER,GP,1A,1KV,SMA","CR301,CR302,CR304,CR305,CR501,CR502,CR504,CR505",D_SMA,C95872
"DIODE,TVS,75V,SMA","CR303,CR503",D_SMA,C2898589
"LED,GREEN,0805","DS301,DS401,DS501",LED0805,C434435
"CONN,HDR,STRIP,DUAL ROW,PTH,2X8,0.254 MM PITCH",J201,PinHeader_2x08_P2.54mm_Horizontal,C2935940
"CONN,HDR,STRIP,DUAL ROW,PTH,2X5,0.254 MM PITCH","J202,J404",PinHeader_2x05_P2.54mm_Horizontal,C2935937
CONN_4P4C_CONNFLY,"J301,J501",CONN_4P4C_CONNFLY,C77854
"HEADER,STRIP,RA,4 POS,0.254MM PITCH",J401,PinHeader_1x04_P2.54mm_Horizontal,C2935929
"HEADER,STRIP,RA,6 POS,0.254MM PITCH",J402,PinHeader_1x06_P2.54mm_Horizontal,C2935931
"CONN,HDR,STRIP,DUAL ROW,PTH,2X3,0.254 MM PITCH",J403,PinHeader_2x03_P2.54mm_Horizontal,C2935935
"XSTR,MOSFET,SOT-23,N-CH,60V,115MA","Q301,Q302,Q501,Q502",SOT-23,C8545
"RES,0603,470 OHM,1%,E24","R301,R402,R404,R501",R_0603_1608Metric,"C23179
"
"RES,1206,1M OHM,1%,1/4W","R303,R503",R_1206_3216Metric,C17927
"RES,0603,2.2K OHM,1%","R306,R307,R312,R405,R406,R506,R507,R512",R_0603_1608Metric,C4190
"RES,0603,100K OHM,1%,E24","R308,R313,R508,R513",R_0603_1608Metric,C25803
"RES,0603,1.50K OHM,1%,E24","R309,R509",R_0603_1608Metric,C25804
"RES,0603,3.0K OHM,1%,E24","R310,R510",R_0603_1608Metric,C4211
"RES,0603,100 OHM,1%","R311,R511",R_0603_1608Metric,C22775
"RES,0603,6.8K OHM,1%,E24","R315,R515",R_0603_1608Metric,C23212
"RES,0603,10.0K OHM,1%","R401,R408,R409",R_0603_1608Metric,C25804
"RES,0603,1M OHM,1%,E24",R403,R_0603_1608Metric,C22935
"IC,OP-AMP,GP,DUAL,SOIC8","U302,U502",SOIC8N-SAR,C7950
"IC,MPU,ARM CORTEX M3,64KB,LQFP-48",U401,LQFP-48_7x7mm_P0.5mm,C8734
"VREG,LDO,3.3V,1A,1V DO,SOT-223",VR401,SOT-223-3_TabPin2,C6186
"CRYSTAL,8MHZ,12PF,10PPM,SMT,3225",Y401,Crystal_SMD_3225-4Pin_3.2x2.5mm,C5308003 
"SURGE SUPRESSOR, THYRISTOR, 350V, SMB","Z301,Z302,Z303,Z501,Z502,Z503",D_SMB,C2901314
